dimension,knn,knn_std,train_reconstruction,train_reconstruction_std,test_reconstruction,test_reconstruction_std
1,0.2974101921470342,0.0326349623803251,0.8699179689089457,0.0106128125092874,0.8979124824206034,0.0071603139278429
2,0.570593149540518,0.0337700633774565,0.7476067741711935,0.003979885279229,0.7867395083109537,0.0018723302955213
4,0.8429406850459483,0.0062517249570157,0.6116875410079956,0.0052514628696903,0.6579127113024393,0.0027952890852407
8,0.8930659983291562,0.0123348563577555,0.5080332159996033,0.0020537895965818,0.5488630533218384,0.0013944532033522
9,0.8989139515455306,0.0031258624785078,0.4907503128051758,0.0024674687503171,0.5319024920463562,0.0044192589453539
10,0.9156223893066,0.0051498863851035,0.4706609447797139,0.0018930696594042,0.5098456144332886,0.0047085019021452
11,0.9147869674185464,0.0102317867284176,0.4487918516000111,0.003459752718629,0.4874635835488637,0.0051431307909283
12,0.9197994987468672,0.0108283052604976,0.4350600143273671,0.0020584017990438,0.4724260369936625,0.0022403474241559
13,0.9298245614035088,0.004092714691367,0.4261446297168731,0.0014887363715827,0.4602801899115245,0.0029893702499948
14,0.9381787802840434,0.0023629299287771,0.4058493872483571,0.0043114316553823,0.4404300451278686,0.0044749304082187
15,0.9381787802840432,0.0096707075211279,0.3952525357405345,0.0012561355952671,0.4278130133946736,0.0027927114763325
16,0.9331662489557226,0.0031258624785078,0.3791283865769704,0.0023309733685613,0.4106351335843404,0.0019165184155626
18,0.9448621553884712,0.005414152630248822,0.3518523375193278,0.005272673637809145,0.3803797860940297,0.005130795216367058
26,0.9507101086048454,0.0042598325092671,0.2571736673514048,0.0005786225721081,0.2785622080167134,0.001222944928234
32,0.9615705931495404,0.0023629299287771,0.1921449154615402,0.000971248654049,0.2133846978346506,0.0006895353842331
40,0.9565580618212196,0.0011814649643885,0.1193095669150352,0.0002054441041508,0.1371504565080007,0.0006949008646905
47,0.9548872180451128,0.0020463573456835,0.0796899199485778,0.0028842840262668,0.0934012085199356,0.0022441505417592
56,0.953216374269006,0.0011814649643885,0.0469092664619286,0.0018097562001311,0.057103535781304,0.0023409840252476
62,0.9540517961570592,0.0023629299287771,0.0312752438088258,0.0006960817438116,0.0391229862968126,0.0015986802124498
