dimension,knn,knn_std,train_reconstruction,train_reconstruction_std,test_reconstruction,test_reconstruction_std
1,0.1979949874686716,0.0,0.9102492,0.0,0.9172876,0.0
2,0.4260651629072681,0.0,0.82950556,0.0,0.8400776,0.0
4,0.7343358395989975,0.0,0.7226832,0.0,0.73591703,0.0
8,0.8546365914786967,0.0,0.5803320407867432,0.0,0.5978792905807495,0.0
9,0.8922305764411027,0.0,0.5529884099960327,0.0,0.5743578672409058,0.0
10,0.8897243107769424,0.0,0.5293465256690979,0.0,0.551914393901825,0.0
11,0.9047619047619048,0.0,0.5059189796447754,0.0,0.5292726159095764,0.0
12,0.9147869674185464,0.0,0.483539342880249,0.0,0.506226122379303,0.0
13,0.9172932330827068,0.0,0.4618237018585205,0.0,0.4850125014781952,0.0
14,0.9348370927318296,0.0,0.4410220086574554,0.0,0.4665477275848388,0.0
15,0.924812030075188,0.0,0.4219385087490082,0.0,0.4443230926990509,0.0
16,0.9273182957393484,0.0,0.4035572707653045,0.0,0.4255054891109466,0.0
18,0.9348370927318296,0.0,0.3698118329048157,0.0,0.3918239176273346,0.0
26,0.9448621553884712,0.0,0.25550312,0.0,0.2757374,0.0
32,0.9548872180451128,0.0,0.18751366,0.0,0.2065147,0.0
40,0.9649122807017544,0.0,0.11387493,0.0,0.13040714,0.0
47,0.9573934837092732,0.0,0.06443598,0.0,0.075841404,0.0
56,0.962406015037594,0.0,0.019109586,0.0,0.02265045,0.0
62,0.9573934837092732,0.0,0.00078506063,0.0,0.0007814459,0.0
